Timestamp,Date,Gold Price
2011-03-16 00:00:00,2011-03-16,462000
2011-03-16 08:30:00,2011-03-16,463000
2011-03-17 00:00:00,2011-03-17,462000
2011-03-18 00:00:00,2011-03-18,468000
2011-03-21 00:00:00,2011-03-21,471000
2011-03-22 00:00:00,2011-03-22,471000
2011-03-23 00:00:00,2011-03-23,469000
2011-03-24 00:00:00,2011-03-24,472000
2011-03-25 00:00:00,2011-03-25,472000
2011-03-28 00:00:00,2011-03-28,468000
2011-03-29 00:00:00,2011-03-29,467000
2011-03-30 00:00:00,2011-03-30,467000
2011-03-31 00:00:00,2011-03-31,469000
2011-04-01 00:00:00,2011-04-01,471000
2011-04-04 00:00:00,2011-04-04,470000
2011-04-05 00:00:00,2011-04-05,471000
2011-04-06 00:00:00,2011-04-06,476000
2011-04-07 00:00:00,2011-04-07,476000
2011-04-08 00:00:00,2011-04-08,476000
2011-04-11 00:00:00,2011-04-11,480000
2011-04-12 00:00:00,2011-04-12,476000
2011-04-13 00:00:00,2011-04-13,476000
2011-04-14 00:00:00,2011-04-14,476000
2011-04-15 00:00:00,2011-04-15,480000
2011-04-18 00:00:00,2011-04-18,483000
2011-04-19 00:00:00,2011-04-19,485000
2011-04-20 00:00:00,2011-04-20,486000
2011-04-21 00:00:00,2011-04-21,487000
2011-04-25 00:00:00,2011-04-25,488000
2011-04-25 13:00:00,2011-04-25,488000
2011-04-26 00:00:00,2011-04-26,485000
2011-04-27 00:00:00,2011-04-27,488000
2011-04-28 00:00:00,2011-04-28,493000
2011-04-29 00:00:00,2011-04-29,495000
2011-05-02 00:00:00,2011-05-02,497000
2011-05-03 00:00:00,2011-05-03,492000
2011-05-04 00:00:00,2011-05-04,490000
2011-05-05 00:00:00,2011-05-05,485000
2011-05-06 00:00:00,2011-05-06,475000
2011-05-09 00:00:00,2011-05-09,480000
2011-05-10 00:00:00,2011-05-10,483000
2011-05-11 00:00:00,2011-05-11,485000
2011-05-12 00:00:00,2011-05-12,482000
2011-05-13 00:00:00,2011-05-13,481000
2011-05-16 00:00:00,2011-05-16,478000
2011-05-18 00:00:00,2011-05-18,478000
2011-05-19 00:00:00,2011-05-19,480000
2011-05-20 00:00:00,2011-05-20,480000
2011-05-23 00:00:00,2011-05-23,485000
2011-05-24 00:00:00,2011-05-24,485000
2011-05-25 00:00:00,2011-05-25,488000
2011-05-26 00:00:00,2011-05-26,489000
2011-05-27 00:00:00,2011-05-27,488000
2011-05-30 00:00:00,2011-05-30,491000
2011-05-30 08:30:00,2011-05-30,491000
2011-05-31 00:00:00,2011-05-31,491000
2011-06-01 00:00:00,2011-06-01,489000
2011-06-06 00:00:00,2011-06-06,491000
2011-06-07 00:00:00,2011-06-07,490000
2011-06-08 00:00:00,2011-06-08,489000
2011-06-09 00:00:00,2011-06-09,488000
2011-06-10 00:00:00,2011-06-10,490000
2011-06-13 00:00:00,2011-06-13,486000
2011-06-14 00:00:00,2011-06-14,484000
2011-06-15 00:00:00,2011-06-15,486000
2011-06-16 00:00:00,2011-06-16,487000
2011-06-17 00:00:00,2011-06-17,489000
2011-06-20 00:00:00,2011-06-20,493000
2011-06-21 00:00:00,2011-06-21,492000
2011-06-22 00:00:00,2011-06-22,494000
2011-06-23 00:00:00,2011-06-23,495000
2011-06-24 00:00:00,2011-06-24,488000
2011-06-27 00:00:00,2011-06-27,483000
2011-06-28 00:00:00,2011-06-28,484000
2011-06-30 00:00:00,2011-06-30,486000
2011-07-01 00:00:00,2011-07-01,483000
2011-07-04 00:00:00,2011-07-04,479000
2011-07-05 00:00:00,2011-07-05,480000
2011-07-06 00:00:00,2011-07-06,484000
2011-07-07 00:00:00,2011-07-07,487000
2011-07-08 00:00:00,2011-07-08,488000
2011-07-11 00:00:00,2011-07-11,491000
2011-07-12 00:00:00,2011-07-12,494000
2011-07-13 00:00:00,2011-07-13,498000
2011-07-14 00:00:00,2011-07-14,505000
2011-07-15 00:00:00,2011-07-15,504000
2011-07-18 00:00:00,2011-07-18,505000
2011-07-19 00:00:00,2011-07-19,509000
2011-07-20 00:00:00,2011-07-20,505000
2011-07-21 00:00:00,2011-07-21,508000
2011-07-22 00:00:00,2011-07-22,505000
2011-07-25 00:00:00,2011-07-25,511000
2011-07-26 00:00:00,2011-07-26,511000
2011-07-27 00:00:00,2011-07-27,512000
2011-07-28 00:00:00,2011-07-28,509000
2011-07-29 00:00:00,2011-07-29,510000
2011-08-01 00:00:00,2011-08-01,510000
2011-08-02 00:00:00,2011-08-02,510000
2011-08-03 00:00:00,2011-08-03,518000
2011-08-04 00:00:00,2011-08-04,522000
2011-08-05 00:00:00,2011-08-05,516000
2011-08-05 13:00:00,2011-08-05,520000
2011-08-08 00:00:00,2011-08-08,530000
2011-08-08 12:00:00,2011-08-08,534000
2011-08-09 00:00:00,2011-08-09,540000
2011-08-09 10:00:00,2011-08-09,548000
2011-08-09 12:00:00,2011-08-09,555000
2011-08-10 00:00:00,2011-08-10,553000
2011-08-11 00:00:00,2011-08-11,563000
2011-08-12 00:00:00,2011-08-12,550000
2011-08-15 00:00:00,2011-08-15,544000
2011-08-15 12:00:00,2011-08-15,547000
2011-08-16 00:00:00,2011-08-16,554000
2011-08-18 00:00:00,2011-08-18,558000
2011-08-18 12:00:00,2011-08-18,560000
2011-08-19 00:00:00,2011-08-19,570000
2011-08-19 12:00:00,2011-08-19,575000
2011-08-22 00:00:00,2011-08-22,585000
2011-08-23 00:00:00,2011-08-23,594000
2011-08-24 00:00:00,2011-08-24,576000
2011-08-25 08:00:00,2011-08-25,552000
2011-08-26 00:00:00,2011-08-26,556000
2011-08-30 09:00:00,2011-08-30,575000
2011-09-05 00:00:00,2011-09-05,590000
2011-09-05 09:00:00,2011-09-05,590000
2011-09-07 00:00:00,2011-09-07,590000
2011-09-08 00:00:00,2011-09-08,577000
2011-09-09 00:00:00,2011-09-09,590000
2011-09-12 00:00:00,2011-09-12,588000
2011-09-13 09:00:00,2011-09-13,578000
2011-09-13 12:00:00,2011-09-13,584000
2011-09-14 09:00:00,2011-09-14,588000
2011-09-14 12:45:00,2011-09-14,594000
2011-09-15 09:00:00,2011-09-15,594000
2011-09-16 00:00:00,2011-09-16,580000
2011-09-19 00:00:00,2011-09-19,596000
2011-09-20 00:00:00,2011-09-20,590000
2011-09-21 00:00:00,2011-09-21,605000
2011-09-22 00:00:00,2011-09-22,595000
2011-09-23 09:00:00,2011-09-23,585000
2011-09-26 00:00:00,2011-09-26,575000
2011-09-27 00:00:00,2011-09-27,575000
2011-09-28 00:00:00,2011-09-28,575000
2011-09-29 00:00:00,2011-09-29,575000
2011-09-30 00:00:00,2011-09-30,575000
2011-10-03 00:00:00,2011-10-03,570000
2011-10-04 00:00:00,2011-10-04,575000
2011-10-05 00:00:00,2011-10-05,572000
2011-10-06 00:00:00,2011-10-06,574000
2011-10-07 00:00:00,2011-10-07,575000
2011-10-10 00:00:00,2011-10-10,575000
2011-10-11 09:00:00,2011-10-11,580000
2011-10-12 09:00:00,2011-10-12,576000
2011-10-13 09:00:00,2011-10-13,580000
2011-10-14 00:00:00,2011-10-14,575000
2011-10-17 08:00:00,2011-10-17,575000
2011-10-18 09:00:00,2011-10-18,571000
2011-10-19 09:00:00,2011-10-19,570000
2011-10-20 09:00:00,2011-10-20,568000
2011-10-21 09:00:00,2011-10-21,565000
2011-10-24 09:00:00,2011-10-24,570000
2011-10-25 09:00:00,2011-10-25,560000
2011-10-26 09:00:00,2011-10-26,570000
2011-10-27 09:00:00,2011-10-27,575000
2011-10-28 09:00:00,2011-10-28,580000
2011-10-31 09:00:00,2011-10-31,573000
2011-11-01 08:00:00,2011-11-01,565000
2011-11-02 09:00:00,2011-11-02,567000
2011-11-03 09:00:00,2011-11-03,572000
2011-11-04 09:00:00,2011-11-04,578000
2011-11-07 09:00:00,2011-11-07,575000
2011-11-08 09:00:00,2011-11-08,584000
2011-11-09 09:00:00,2011-11-09,583000
2011-11-10 09:00:00,2011-11-10,576000
2011-11-11 08:30:00,2011-11-11,573500
2011-11-11 10:15:00,2011-11-11,579500
2011-11-14 08:45:00,2011-11-14,588000
2011-11-15 08:40:00,2011-11-15,580000
2011-11-16 08:20:00,2011-11-16,582000
2011-11-17 08:15:00,2011-11-17,580000
2011-11-18 09:40:00,2011-11-18,572000
2011-11-21 08:20:00,2011-11-21,572000
2011-11-22 08:20:00,2011-11-22,565000
2011-11-23 08:00:00,2011-11-23,570000
2011-11-24 08:00:00,2011-11-24,570000
2011-11-25 00:00:00,2011-11-25,573000
2011-11-28 08:10:00,2011-11-28,573000
2011-11-29 08:15:00,2011-11-29,580000
2011-11-30 08:10:00,2011-11-30,585000
2011-12-01 08:15:00,2011-12-01,587000
2011-12-02 08:15:00,2011-12-02,578000
2011-12-05 08:15:00,2011-12-05,584000
2011-12-06 08:30:00,2011-12-06,572000
2011-12-07 08:10:00,2011-12-07,573000
2011-12-08 08:20:00,2011-12-08,576000
2011-12-09 08:30:00,2011-12-09,570000
2011-12-12 08:30:00,2011-12-12,569000
2011-12-13 08:30:00,2011-12-13,566000
